철도운영기관명,선명,역명,경도,위도
코레일,경의중앙,공덕,126.952134,37.542611
코레일,경의중앙,양원(서울시북부병원),127.108,37.6066
코레일,경의중앙,회기,127.057936,37.589802
코레일,경의중앙,서울역,126.971276,37.556964
코레일,경의중앙,야당,126.761535,37.712749
코레일,경의중앙,신원,,
코레일,경의중앙,국수,127.399402,37.516171
코레일,경의중앙,망우,127,37
코레일,경의중앙,강매,126.845437,37.612596
코레일,경의중앙,곡산,126.801877,37.645729
코레일,경의중앙,용산,,
코레일,경의중앙,이촌,126.973816,37.522476
코레일,경의중앙,서빙고,126.988358,37.51961
코레일,경의중앙,한남,127.008984,37.529361
코레일,경의중앙,옥수,,
코레일,경의중앙,중랑,127.076152,37.594948
코레일,경의중앙,구리,126.882037,37.503178
코레일,경의중앙,도농,127.161105,37.608756
코레일,경의중앙,양정,127.194602,37.604269
코레일,경의중앙,덕소,127.1231,37.3514
코레일,경의중앙,팔당,127.243896,37.547321
코레일,경의중앙,운길산,127.310089,37.554659
코레일,경의중앙,양수,127.328948,37.545998
코레일,경의중앙,아신(아세아연합신학대),127.443238,37.513954
코레일,경의중앙,오빈,127.474053,37.506061
코레일,경의중앙,원덕(추읍산),127.547468,37.468585
코레일,경의중앙,용문,127.594251,37.482085
코레일,경의중앙,지평,127.629681,37.476496
코레일,경의중앙,청량리,127.046516,37.580543
코레일,경의중앙,효창공원앞,126.961339,37.539289
코레일,경의중앙,서강대,126.935389,37.552132
코레일,경의중앙,홍대입구,126.925533,37.55808
코레일,경의중앙,가좌,126.914841,37.568611
코레일,경의중앙,디지털미디어시티,,
코레일,경의중앙,수색,126.895681,37.580855
코레일,경의중앙,행신,126.834063,37.612125
코레일,경의중앙,능곡,126.820845,37.618741
코레일,경의중앙,풍산,126.786355,37.672173
코레일,경의중앙,일산,126.769521,37.682231
코레일,경의중앙,탄현,126.761075,37.694114
코레일,경의중앙,운정,126.767076,37.725441
코레일,경의중앙,금촌,126.774515,37.766106
코레일,경의중앙,월롱(서영대학교),126.792574,37.796201
코레일,경의중앙,파주(두원대학),126.473408,37.485481
코레일,경의중앙,문산,126.787531,37.854565
코레일,경의중앙,운천,,
코레일,경의중앙,도라산,126.7085628,37.8977702
코레일,경의중앙,신촌,126.942308,37.559768
코레일,경의중앙,응봉,127.034824,37.550433
코레일,경의중앙,상봉,127.085853,37.595254
코레일,경의중앙,도심,127.222798,37.579628
코레일,경의중앙,양평,127.491858,37.492674
코레일,경의중앙,왕십리,127.035505,37.561128
코레일,경의중앙,화전(한국항공대),126.832503,37.637837
코레일,경의중앙,대곡,126.811025,37.631629
코레일,경의중앙,백마,126.794401,37.658346
코레일,경의중앙,금릉,126.765401,37.751295
코레일,경의중앙,임진강,126.746777,37.888364
