철도운영기관명,선명,역명,경도,위도
코레일,경춘,광운대,,
코레일,경춘,대성리,127.379165,37.683909
코레일,경춘,청량리,127.045043,37.580113
코레일,경춘,회기,127.057989,37.589774
코레일,경춘,중랑,127.076152,37.594944
코레일,경춘,상봉,,
코레일,경춘,망우,,
코레일,경춘,신내,127.103277,37.612855
코레일,경춘,갈매,127.11,37.63
코레일,경춘,별내(삼육대학교),127.127208,37.642221
코레일,경춘,퇴계원,127.143858,37.648316
코레일,경춘,사릉,127.127208,37.642221
코레일,경춘,금곡,127.207931,37.637414
코레일,경춘,평내호평,127.244576,37.65341
코레일,경춘,천마산,127.285731,37.658995
코레일,경춘,마석,127.311713,37.652328
코레일,경춘,청평,127.426541,37.735484
코레일,경춘,상천(호명호수),127.4542,37.770405
코레일,경춘,가평(자라섬·남이섬),127.510693,37.814515
코레일,경춘,굴봉산(제이드가든),127.557732,37.832086
코레일,경춘,백양리(엘리시안강촌),127.589085,37.830881
코레일,경춘,강촌,127.634054,37.805728
코레일,경춘,김유정,127.71426,37.81841
코레일,경춘,춘천(한림대),127.716603,37.884391
코레일,경춘,남춘천(강원대),127.723761,37.864071
