철도운영기관명,선명,역명,경도,위도
공항철도주식회사,공항철도,서울역,126.9704658,37.5490645
공항철도주식회사,공항철도,공덕,126.9516296,37.5427105
공항철도주식회사,공항철도,홍대입구,126.9265227,37.5578854
공항철도주식회사,공항철도,디지털미디어시티,126.8972464,37.5783645
공항철도주식회사,공항철도,마곡나루,126.827608,37.5653322
공항철도주식회사,공항철도,김포공항,126.8025118,37.5667733
공항철도주식회사,공항철도,계양,126.7366447,37.5714532
공항철도주식회사,공항철도,검암,126.6731455,37.5692068
공항철도주식회사,공항철도,청라국제도시,126.6253775,37.5548865
공항철도주식회사,공항철도,영종,126.5237272,37.5118654
공항철도주식회사,공항철도,운서,126.493713,37.4928447
공항철도주식회사,공항철도,공항화물청사,126.4774206,37.4589761
공항철도주식회사,공항철도,인천공항1터미널,126.4580914,37.4475485
공항철도주식회사,공항철도,인천공항2터미널,126.4406136,37.479174
