철도운영기관명,선명,역명,경도,위도
코레일,수인분당,수내(한국잡월드),,
코레일,수인분당,오목천,126.963634,37.243124
코레일,수인분당,송도,126.678991,37.417769
코레일,수인분당,인천,126.616936,37.476364
코레일,수인분당,청량리,127.045043,37.580113
코레일,수인분당,압구정로데오,127.040555,37.527385
코레일,수인분당,선정릉(한국과학창의재단),127.043817,37.510275
코레일,수인분당,선릉,127.048941,37.504479
코레일,수인분당,개포동,127.3577,37.29203
코레일,수인분당,복정(동서울대학),127.126627,37.469753
코레일,수인분당,가천대,127.126677,37.448784
코레일,수인분당,태평,127.127746,37.439842
코레일,수인분당,모란,127.129064,37.432124
코레일,수인분당,서현,127.123249,37.384931
코레일,수인분당,정자,127.108091,37.366037
코레일,수인분당,미금(분당서울대병원),127.108952,37.350078
코레일,수인분당,오리,127.108985,37.339832
코레일,수인분당,죽전(단국대),127.107385,37.324575
코레일,수인분당,보정,127.108446,37.312867
코레일,수인분당,신갈,127.111311,37.286127
코레일,수인분당,상갈(루터대학교),127.108718,37.261797
코레일,수인분당,청명,127.078945,37.259485
코레일,수인분당,영통(경희대),127.071341,37.251521
코레일,수인분당,망포,127.057367,37.245793
코레일,수인분당,수원시청(경기도문화의전당),127.030736,37.261941
코레일,수인분당,매교,127.015657,37.265502
코레일,수인분당,수원,126.999821,37.266162
코레일,수인분당,어천,126.908805,37.250076
코레일,수인분당,야목,126.88429,37.261011
코레일,수인분당,사리,126.856872,37.289982
코레일,수인분당,한대앞,,
코레일,수인분당,중앙,126.838532,37.316055
코레일,수인분당,고잔,,
코레일,수인분당,초지,,
코레일,수인분당,안산,126.788748,37.327006
코레일,수인분당,신길온천,,
코레일,수인분당,정왕,,
코레일,수인분당,오이도,,
코레일,수인분당,월곶,126,37
코레일,수인분당,소래포구,126.733533,37.400963
코레일,수인분당,남동인더스파크,126.695613,37.407868
코레일,수인분당,원인재,126.686952,37.412921
코레일,수인분당,신포,126.624509,37.468442
코레일,수인분당,왕십리,127.035505,37.561128
코레일,수인분당,서울숲,127.044686,37.543647
코레일,수인분당,강남구청,127.041275,37.517172
코레일,수인분당,한티,127.052883,37.496208
코레일,수인분당,도곡,127.055393,37.490914
코레일,수인분당,구룡,,
코레일,수인분당,대모산입구,127.07274,37.491422
코레일,수인분당,수서,,
코레일,수인분당,야탑,127.128661,37.41132
코레일,수인분당,이매(성남아트센터),127.128272,37.395846
코레일,수인분당,구성,127.105664,37.299013
코레일,수인분당,기흥(백남준아트센터),127.115944,37.275657
코레일,수인분당,매탄권선,127.040824,37.252458
코레일,수인분당,고색,126.977899,37.248829
코레일,수인분당,달월,126.745431,37.379993
코레일,수인분당,인천논현,126.722495,37.400641
코레일,수인분당,호구포,126.708682,37.401622
코레일,수인분당,연수,126.678991,37.417769
코레일,수인분당,인하대,126.649832,37.448191
코레일,수인분당,숭의(인하대병원),126.638035,37.460891
