철도운영기관명,선명,역명,경도,위도
코레일,1호선,지행,127.055734,37.892361
코레일,1호선,도봉,,
코레일,1호선,창동,127.047663,37.653181
코레일,1호선,월계,127.058835,37.633114
코레일,1호선,외대앞,127.063572,37.596157
코레일,1호선,대방,126.926407,37.513392
코레일,1호선,신길,126.917743,37.517018
코레일,1호선,덕정,127.061511,37.843216
코레일,1호선,구일,126.869599,37.496273
코레일,1호선,온수,126.823399,37.492267
코레일,1호선,역곡,126.811622,37.48514
코레일,1호선,송내,126.753045,37.487626
코레일,1호선,부평,126.724584,37.489457
코레일,1호선,성균관대,126.970861,37.300344
코레일,1호선,소요산,127.0339,37.5653
코레일,1호선,동두천,127.054825,37.927569
코레일,1호선,보산,,
코레일,1호선,동두천중앙,127.056528,37.901818
코레일,1호선,덕계,127.056676,37.818761
코레일,1호선,녹양,127.042272,37.759416
코레일,1호선,가능,127.044251,37.748362
코레일,1호선,의정부,127.045891,37.73873
코레일,1호선,회룡,127.047319,37.724037
코레일,1호선,망월사,127.047361,37.710499
코레일,1호선,도봉산,127.046347,37.689603
코레일,1호선,방학,127.04456,37.66796
코레일,1호선,녹천,127.051406,37.644599
코레일,1호선,석계,127.065594,37.615206
코레일,1호선,신이문,127.067556,37.60274474
코레일,1호선,회기,127.057936,37.589802
코레일,1호선,남영,126.971171,37.540597
코레일,1호선,용산,126.964775,37.52989
코레일,1호선,노량진,126.941671,37.514072
코레일,1호선,영등포,126.907411,37.515756
코레일,1호선,신도림,126.891513,37.508983
코레일,1호선,개봉,126.858504,37.494698
코레일,1호선,오류동,126.844551,37.4944
코레일,1호선,소사,126.795654,37.482755
코레일,1호선,부천,126.782779,37.484066
코레일,1호선,명학,126.935579,37.384435
코레일,1호선,부개,126.740549,37.488479
코레일,1호선,백운,126.707179,37.483301
코레일,1호선,동암,126.703016,37.470835
코레일,1호선,주안,126.680702,37.465041
코레일,1호선,도화,126.66846,37.466154
코레일,1호선,제물포,126.657165,37.466809
코레일,1호선,도원,126.642824,37.468604
코레일,1호선,동인천,126.632598,37.475414
코레일,1호선,인천,126.616936,37.476364
코레일,1호선,세류,127.013772,37.244102
코레일,1호선,간석,126.693408,37.464689
코레일,1호선,중동,126.764474,37.486664
코레일,1호선,광운대,,
코레일,1호선,양주,127.044719,37.774281
코레일,1호선,광명,126.884523,37.415995
코레일,1호선,구로,126.881818,37.502211
코레일,1호선,가산디지털단지,126.882628,37.481568
코레일,1호선,독산,126.889508,37.465994
코레일,1호선,금천구청,126.894344,37.45576
코레일,1호선,석수,126.902233,37.435161
코레일,1호선,관악,126.908476,37.419578
코레일,1호선,안양,126.922647,37.401929
코레일,1호선,금정,126.943611,37.371957
코레일,1호선,군포,126.948517,37.353732
코레일,1호선,당정,126.948388,37.34338
코레일,1호선,의왕,126.948099,37.320648
코레일,1호선,화서,126.989581,37.28399
코레일,1호선,수원,126.999821,37.266162
코레일,1호선,병점,127.033268,37.206821
코레일,1호선,서동탄,127.051893,37.195675
코레일,1호선,세마,127.043279,37.187288
코레일,1호선,오산대,127.063081,37.169401
코레일,1호선,오산,127.066708,37.145472
코레일,1호선,진위,127.062342,37.109771
코레일,1호선,송탄,127.054397,37.075376
코레일,1호선,서정리,127.052844,37.056459
코레일,1호선,평택지제,127.070269,37.018822
코레일,1호선,평택,127.085496,36.990559
코레일,1호선,성환,127.127007,36.915781
코레일,1호선,직산,127.143774,36.870921
코레일,1호선,두정,127.148905,36.833791
코레일,1호선,천안,127.146417,36.810238
코레일,1호선,봉명,127.136319,36.801578
코레일,1호선,쌍용(나사렛대),127.121363,36.793745
코레일,1호선,아산,127.105049,36.792195
코레일,1호선,배방,127.052751,36.777541
코레일,1호선,온양온천,127.003707,36.780419
코레일,1호선,신창(순천향대),126.950129,36.769213
코레일,1호선,탕정,127.080446,36.788272
서울교통공사,1호선,서울역,126.972533,37.55315
서울교통공사,1호선,시청,126.975407,37.56359
서울교통공사,1호선,종각,126.983116,37.570203
서울교통공사,1호선,종로3가,126.992095,37.570429
서울교통공사,1호선,종로5가,127.0019,37.570971
서울교통공사,1호선,동대문,127.00789,37.565145
서울교통공사,1호선,신설동,127.02471,37.576117
서울교통공사,1호선,제기동,127.034902,37.578116
서울교통공사,1호선,청량리(서울시립대입구),127.045063,37.580148
서울교통공사,1호선,동묘앞,127.016459,37.573265
