철도운영기관명,노선,역명,경도,위도
서울교통공사,2호선,시청,126.975271,37.563534
서울교통공사,2호선,을지로입구,126.982569,37.565998
서울교통공사,2호선,을지로3가,126.991773,37.566292
서울교통공사,2호선,을지로4가,126.998122,37.566611
서울교통공사,2호선,동대문역사문화공원(DDP),127.009083,37.565609
서울교통공사,2호선,신당,127.019488,37.565681
서울교통공사,2호선,상왕십리,127.028872,37.564504
서울교통공사,2호선,왕십리(성동구청),127.035505,37.561159
서울교통공사,2호선,한양대,127.043504,37.55658
서울교통공사,2호선,뚝섬,127.047413,37.54718
서울교통공사,2호선,성수,127.055983,37.544628
서울교통공사,2호선,건대입구,127.069231,37.540408
서울교통공사,2호선,구의(광진구청),127.085024,37.536857
서울교통공사,2호선,강변(동서울터미널),127.094684,37.535161
서울교통공사,2호선,잠실나루,127.103836,37.520688
서울교통공사,2호선,잠실(송파구청),127.100129,37.513305
서울교통공사,2호선,잠실새내,127.103738,37.520731
서울교통공사,2호선,종합운동장,127.073641,37.511008
서울교통공사,2호선,삼성(무역센터),127.063203,37.508827
서울교통공사,2호선,선릉,127.048174,37.504257
서울교통공사,2호선,역삼,127.03643,37.500658
서울교통공사,2호선,강남,127.027539,37.497958
서울교통공사,2호선,"교대(법원, 검찰청)",127.014631,37.493957
서울교통공사,2호선,서초,127.007945,37.49191
서울교통공사,2호선,방배,126.997627,37.481469
서울교통공사,2호선,사당,126.981631,37.476536
서울교통공사,2호선,낙성대(강감찬),126.963783,37.47693
서울교통공사,2호선,서울대입구(관악구청),126.952745,37.481233
서울교통공사,2호선,봉천,126.941896,37.482416
서울교통공사,2호선,신림,126.929573,37.484216
서울교통공사,2호선,신대방,126.913279,37.487534
서울교통공사,2호선,구로디지털단지,126.902626,37.485005
서울교통공사,2호선,대림(구로구청),126.895293,37.492426
서울교통공사,2호선,신도림,126.891222,37.508815
서울교통공사,2호선,문래,126.894766,37.517993
서울교통공사,2호선,영등포구청,126.896627,37.525766
서울교통공사,2호선,당산,126.902011,37.533877
서울교통공사,2호선,합정,126.914557,37.550025
서울교통공사,2호선,홍대입구,126.923643,37.556748
서울교통공사,2호선,신촌(지하),126.93689,37.555153
서울교통공사,2호선,이대,126.945897,37.556734
서울교통공사,2호선,아현,126.956079,37.557407
서울교통공사,2호선,충정로(경기대입구),126.964455,37.559742
서울교통공사,2호선,용답,126.977863,37.566412
서울교통공사,2호선,신답,127.056348,37.56147
서울교통공사,2호선,신설동,127.025158,37.574653
서울교통공사,2호선,도림천,126.882586,37.514759
서울교통공사,2호선,양천구청,126.865193,37.512194
서울교통공사,2호선,신정네거리,126.852849,37.520218
서울교통공사,2호선,용두(동대문구청),127.03811,37.574012
