철도운영기관명,선명,역명,경도,위도
네오트랜스주식회사,신분당선,논현,127.0220546,37.5096469
네오트랜스주식회사,신분당선,신논현,127.024407,37.504063
네오트랜스주식회사,신분당선,강남,127.028506,37.496068
네오트랜스주식회사,신분당선,양재(서초구청),127.034371,37.484117
네오트랜스주식회사,신분당선,양재시민의숲(매헌),127.03845,37.469903
네오트랜스주식회사,신분당선,청계산입구,127.054678,37.448383
네오트랜스주식회사,신분당선,판교(판교테크노밸리),127.0644,37.2337
네오트랜스주식회사,신분당선,정자,127.10843,37.367381
네오트랜스주식회사,신분당선,성복,127.080321,37.313621
네오트랜스주식회사,신분당선,상현,,
네오트랜스주식회사,신분당선,광교중앙(아주대),127.051,37.288
네오트랜스주식회사,신분당선,광교(경기대),127.044731,37.30141
네오트랜스주식회사,신분당선,신사,127.0200228,37.5162873
네오트랜스주식회사,신분당선,미금(분당서울대병원),127.1089,37.3501
네오트랜스주식회사,신분당선,동천,127.0609,37.2016
네오트랜스주식회사,신분당선,수지구청,127.0946,37.3225
