철도운영기관명,선명,역명,경도,위도
용인경량전철주식회사,용인에버라인,기흥(백남준아트센터),127.1170465,37.27545288
용인경량전철주식회사,용인에버라인,강남대,127.1260669,37.27017073
용인경량전철주식회사,용인에버라인,지석,127.1363256,37.26973732
용인경량전철주식회사,용인에버라인,어정,127.1437499,37.27495132
용인경량전철주식회사,용인에버라인,동백,127.1526906,37.26910138
용인경량전철주식회사,용인에버라인,초당,127.1594692,37.26080647
용인경량전철주식회사,용인에버라인,삼가,127.16818,37.24205993
용인경량전철주식회사,용인에버라인,시청·용인대,127.1788851,37.23944203
용인경량전철주식회사,용인에버라인,명지대,127.1902913,37.23807629
용인경량전철주식회사,용인에버라인,김량장,127.1986109,37.23732377
용인경량전철주식회사,용인에버라인,운동장·송담대,127.2090526,37.2379113
용인경량전철주식회사,용인에버라인,고진,127.2141836,37.24463834
용인경량전철주식회사,용인에버라인,보평,127.2184808,37.25896427
용인경량전철주식회사,용인에버라인,둔전,127.2136387,37.26721222
용인경량전철주식회사,용인에버라인,전대·에버랜드,127.219509,37.28541327
