철도운영기관명,선명,역명,경도,위도
우이신설경전철,우이신설선,북한산우이(도선사입구),127.01272,37.66284
우이신설경전철,우이신설선,솔밭공원,127.01326,37.65607
우이신설경전철,우이신설선,4.19민주묘지(덕성여대),127.01371,37.64954
우이신설경전철,우이신설선,가오리,127.01681,37.64162
우이신설경전철,우이신설선,화계,127.0175,37.63428
우이신설경전철,우이신설선,삼양,127.01817,37.62706
우이신설경전철,우이신설선,삼양사거리,127.02049,37.62144
우이신설경전철,우이신설선,솔샘,127.01357,37.62037
우이신설경전철,우이신설선,북한산보국문(서경대),127.00816,37.61233
우이신설경전철,우이신설선,정릉(국민대입구),127.01345,37.60278
우이신설경전철,우이신설선,성신여대입구,127.01656,37.59287
우이신설경전철,우이신설선,보문,127.01939,37.58551
우이신설경전철,우이신설선,신설동,127.02361,37.57579
