철도운영기관명,선명,역명,경도,위도
의정부경량전철주식회사,의정부경전철,발곡,127.008569,37.275361
의정부경량전철주식회사,의정부경전철,회룡,127.0467864,37.72505255
의정부경량전철주식회사,의정부경전철,범골,127.0437202,37.7287279
의정부경량전철주식회사,의정부경전철,경전철의정부,127.043321,37.73729974
의정부경량전철주식회사,의정부경전철,의정부시청,127.034854,37.73924874
의정부경량전철주식회사,의정부경전철,흥선,127.0371765,37.74322487
의정부경량전철주식회사,의정부경전철,의정부중앙,127.0496332,37.74371903
의정부경량전철주식회사,의정부경전철,동오,127.05703,37.74519123
의정부경량전철주식회사,의정부경전철,새말,127.063869,37.74889941
의정부경량전철주식회사,의정부경전철,경기도청북부청사,127.0714795,37.75073213
의정부경량전철주식회사,의정부경전철,효자,127.0773155,37.75398452
의정부경량전철주식회사,의정부경전철,곤제,127.0838651,37.75054343
의정부경량전철주식회사,의정부경전철,어룡(용현산업단지),127.0852045,37.74272184
의정부경량전철주식회사,의정부경전철,송산,127.0872755,37.7371698
의정부경량전철주식회사,의정부경전철,탑석,127.0889064,37.73355362
