철도운영기관명,선명,역명,경도,위도
인천교통공사,인천2호선,검단오류,126.628965,37.594496
인천교통공사,인천2호선,왕길,126.642295,37.595089
인천교통공사,인천2호선,검단사거리,126.656465,37.601683
인천교통공사,인천2호선,마전,126.667308,37.597607
인천교통공사,인천2호선,완정,126.673075,37.592881
인천교통공사,인천2호선,독정,126.675955,37.584919
인천교통공사,인천2호선,검암,126.67361,37.569223
인천교통공사,인천2호선,검바위,126.677525,37.561093
인천교통공사,인천2호선,아시아드경기장,126.677042,37.551288
인천교통공사,인천2호선,서구청,126.6768,37.543831
인천교통공사,인천2호선,가정,127.368207,35.230154
인천교통공사,인천2호선,가정중앙시장,126.676812,37.517519
인천교통공사,인천2호선,석남,126.676272,37.507145
인천교통공사,인천2호선,서부여성회관,126.675822,37.5003
인천교통공사,인천2호선,인천가좌,126.67521,37.490046
인천교통공사,인천2호선,가재울,126.683806,37.484119
인천교통공사,인천2호선,주안국가산단,126.681738,37.473883
인천교통공사,인천2호선,주안,126.680722,37.465022
인천교통공사,인천2호선,시민공원,126.679995,37.459949
인천교통공사,인천2호선,석바위시장,126.692355,37.457697
인천교통공사,인천2호선,인천시청,126.702206,37.45761
인천교통공사,인천2호선,석천사거리,126.710364,37.456794
인천교통공사,인천2호선,모래내시장,126.719607,37.455858
인천교통공사,인천2호선,만수,126.7314,37.454953
인천교통공사,인천2호선,남동구청,126.736657,37.448178
인천교통공사,인천2호선,인천대공원,126.753037,37.448432
인천교통공사,인천2호선,운연,126.759516,37.438256
