역명,호선,위도,경도,시청과의거리
창동,1호선,37.653181,127.047663,11.408497678776548
월계,1호선,37.633114,127.058835,10.256009386286152
외대앞,1호선,37.596157,127.063572,8.209979362637014
대방,1호선,37.513392,126.926407,7.47272689070515
신길,1호선,37.517018,126.917743,7.667730941441291
구일,1호선,37.496273,126.869599,12.362885075703163
온수,1호선,37.492267,126.823399,15.957474851877166
소요산,1호선,37.5653,127.0339,4.911087940723056
도봉산,1호선,37.689603,127.046347,14.937447033102469
방학,1호선,37.66796,127.04456,12.697455658519196
녹천,1호선,37.644599,127.051406,10.809027382052141
석계,1호선,37.615206,127.065594,9.408387288713788
신이문,1호선,37.60274474,127.067556,8.840679014209432
회기,1호선,37.589802,127.057936,7.485616004150959
남영,1호선,37.540597,126.971171,2.955504596998498
용산,1호선,37.52989,126.964775,4.248593290831419
노량진,1호선,37.514072,126.941671,6.668698623846725
영등포,1호선,37.515756,126.907411,8.420396952231497
신도림,1호선,37.508983,126.891513,9.972537836049478
개봉,1호선,37.494698,126.858504,13.240413468788464
오류동,1호선,37.4944,126.844551,14.259305044032397
구로,1호선,37.502211,126.881818,11.111715365547159
가산디지털단지,1호선,37.481568,126.882628,12.66535100027789
독산,1호선,37.465994,126.889508,13.649364812952209
금천구청,1호선,37.45576,126.894344,14.372657781479946
서울역,1호선,37.55315,126.972533,1.5753246068923186
시청,1호선,37.56359,126.975407,0.4143465965989555
종각,1호선,37.570203,126.983116,0.5909978014895144
종로3가,1호선,37.570429,126.992095,1.296779306296167
종로5가,1호선,37.570971,127.0019,2.1446660439937175
동대문,1호선,37.565145,127.00789,2.621410876988106
신설동,1호선,37.576117,127.02471,4.233537521722624
제기동,1호선,37.578116,127.034902,5.158772425624855
청량리(서울시립대입구),1호선,37.580148,127.045063,6.082256951752152
동묘앞,1호선,37.573265,127.016459,3.452443703307673
시청,2호선,37.563534,126.975271,0.4265244480517202
을지로입구,2호선,37.565998,126.982569,0.3902418954937944
을지로3가,2호선,37.566292,126.991773,1.1964120563668459
을지로4가,2호선,37.566611,126.998122,1.755557599150656
동대문역사문화공원(DDP),2호선,37.565609,127.009083,2.7238201983081067
신당,2호선,37.565681,127.019488,3.640128202049165
상왕십리,2호선,37.564504,127.028872,4.471860873208324
왕십리(성동구청),2호선,37.561159,127.035505,5.086523407654194
한양대,2호선,37.55658,127.043504,5.862363380448036
뚝섬,2호선,37.54718,127.047413,6.471114436949395
성수,2호선,37.544628,127.055983,7.27807227999226
건대입구,2호선,37.540408,127.069231,8.536003653998877
구의(광진구청),2호선,37.536857,127.085024,9.980165127607712
강변(동서울터미널),2호선,37.535161,127.094684,10.8467556533417
잠실나루,2호선,37.520688,127.103836,12.195612044500637
잠실(송파구청),2호선,37.513305,127.100129,12.274547110801317
잠실새내,2호선,37.520731,127.103738,12.18576099769279
종합운동장,2호선,37.511008,127.073641,10.440311480029333
삼성(무역센터),2호선,37.508827,127.063203,9.869965894323528
선릉,2호선,37.504257,127.048174,9.278860254032153
역삼,2호선,37.500658,127.03643,8.949885320884862
강남,2호선,37.497958,127.027539,8.783927657306739
"교대(법원, 검찰청)",2호선,37.493957,127.014631,8.691268495456143
서초,2호선,37.49191,127.007945,8.707839581620123
방배,2호선,37.481469,126.997627,9.61824524884133
사당,2호선,37.476536,126.981631,10.017577671480737
낙성대(강감찬),2호선,37.47693,126.963783,10.050000734835862
서울대입구(관악구청),2호선,37.481233,126.952745,9.752684350026053
봉천,2호선,37.482416,126.941896,9.89174803391042
신림,2호선,37.484216,126.929573,10.113362224574548
신대방,2호선,37.487534,126.913279,10.490274732396678
구로디지털단지,2호선,37.485005,126.902626,11.256554386714484
대림(구로구청),2호선,37.492426,126.895293,11.020569997875965
신도림,2호선,37.508815,126.891222,10.004209200346551
문래,2호선,37.517993,126.894766,9.12754614448941
영등포구청,2호선,37.525766,126.896627,8.504493806588624
당산,2호선,37.533877,126.902011,7.638414169655373
합정,2호선,37.550025,126.914557,5.904802642483086
홍대입구,2호선,37.556748,126.923643,4.932037655818563
신촌(지하),2호선,37.555153,126.93689,3.857100724311369
이대,2호선,37.556734,126.945897,3.0510683422654687
아현,2호선,37.557407,126.956079,2.2010615428982736
충정로(경기대입구),2호선,37.559742,126.964455,1.4309369868443476
용답,2호선,37.566412,126.977863,0.03567541364724834
신답,2호선,37.56147,127.056348,6.911174463781098
신설동,2호선,37.574653,127.025158,4.234361447528835
도림천,2호선,37.514759,126.882586,10.211932081871588
양천구청,2호선,37.512194,126.865193,11.656073379946934
신정네거리,2호선,37.520218,126.852849,12.195437558872928
용두(동대문구청),2호선,37.574012,127.03811,5.343961282492837
지축,3호선,37.648281,126.912551,10.76891244882582
구파발,3호선,37.636612,126.918827,9.3805248631548
연신내,3호선,37.618855,126.920859,7.701225658086323
불광,3호선,37.610554,126.929843,6.485459658308227
녹번,3호선,37.600882,126.935758,5.3416548327502
홍제,3호선,37.588851,126.944092,3.8944248206195886
무악재,3호선,37.582658,126.950131,3.0520420768892547
독립문,3호선,37.574534,126.957902,1.9956773543089652
경복궁(정부서울청사),3호선,37.575844,126.973576,1.107389554854161
안국,3호선,37.576562,126.98547,1.2809468439075185
종로3가,3호선,37.571537,126.991237,1.273839942613808
을지로3가,3호선,37.566299,126.992616,1.2706670114062901
충무로,3호선,37.561302,126.995473,1.6315595679303143
동대입구,3호선,37.55816,127.005273,2.563296538646851
약수,3호선,37.554674,127.010628,3.1500129982281972
금호,3호선,37.548269,127.015785,3.888738802198376
옥수,3호선,37.541653,127.017303,4.423304253403185
압구정,3호선,37.526169,127.028502,6.3135223552730775
신사,3호선,37.516438,127.020247,6.695807033388564
잠원,3호선,37.512989,127.011613,6.647870123678597
고속터미널,3호선,37.504953,127.004916,7.246639918693456
교대(법원·검찰청),3호선,37.49306,127.013796,8.7573746377045
남부터미널(예술의전당),3호선,37.48494,127.016289,9.679874597675491
양재(서초구청),3호선,37.48466,127.03513,10.401335820968235
매봉,3호선,37.487114,127.046907,10.714274670956536
도곡,3호선,37.491129,127.055694,10.820906600799502
대치,3호선,37.494601,127.063449,10.980601847611664
학여울,3호선,37.496757,127.070541,11.250971638263195
대청,3호선,37.493607,127.079526,12.069777585541784
일원,3호선,37.48389,127.08416,13.109659644237228
수서,3호선,37.487507,127.101324,13.971423859359636
가락시장,3호선,37.492368,127.118101,14.842256805575726
경찰병원,3호선,37.495754,127.124198,15.09194708755193
오금,3호선,37.502288,127.128344,15.04598072251431
남태령,4호선,37.464339,126.989081,11.409667363366875
사당,4호선,37.476563,126.981746,10.014887996773524
총신대입구(이수),4호선,37.487521,126.982309,8.798989335949209
동작(현충원),4호선,37.503567,126.980171,7.009449258834723
이촌(국립중앙박물관),4호선,37.522525,126.97335,4.917919944044549
신용산,4호선,37.52919,126.96858,4.24382701186121
삼각지,4호선,37.535057,126.973354,3.5317437464410015
숙대입구(갈월),4호선,37.545124,126.971952,2.449177275142251
서울역,4호선,37.553172,126.972836,1.564722645342368
회현(남대문시장),4호선,37.559698,126.979565,0.775153215616271
명동,4호선,37.561055,126.988271,1.0795814142362432
충무로,4호선,37.561302,126.995473,1.6315595679303143
동대문역사문화공원,4호선,37.565141,127.008458,2.671408921063627
동대문,4호선,37.57099,127.008835,2.7437733521806655
혜화,4호선,37.582116,127.001759,2.700322561720964
한성대입구(삼선교),4호선,37.58838,127.006751,3.4931636601700276
성신여대입구(돈암),4호선,37.592782,127.017338,4.514234109101464
길음,4호선,37.604087,127.025353,5.886411584829988
미아사거리,4호선,37.613276,127.030083,6.91735536530185
미아,4호선,37.626435,127.026151,7.882499146567878
수유(강북구청),4호선,37.637127,127.024731,8.85029962152765
쌍문,4호선,37.648274,127.034381,10.34394971438307
창동,4호선,37.652993,127.046746,11.347680130675357
노원,4호선,37.656274,127.063183,12.469615553967767
상계,4호선,37.660576,127.073199,13.388203360875824
당고개,4호선,37.66956,127.078404,14.456707796622931
방화,5호선,37.577669,126.812822,14.627393502173407
개화산,5호선,37.572458,126.806838,15.117397835163475
김포공항,5호선,37.56217,126.801273,15.602558794839057
송정,5호선,37.561411,126.812052,14.656134557961778
마곡,5호선,37.562182,126.82693,13.342388626161535
발산,5호선,37.562182,126.82693,13.342388626161535
우장산,5호선,37.548864,126.83633,12.660284661238169
화곡,5호선,37.541585,126.840436,12.45874451754989
까치산,5호선,37.53181,126.846706,12.220588467714569
신정(은행정),5호선,37.525001,126.856176,11.709923182529772
목동,5호선,37.526088,126.864296,11.00576057072866
오목교(목동운동장앞),5호선,37.524557,126.875049,10.224915016850796
양평,5호선,37.525614,126.886177,9.304891173497362
영등포구청,5호선,37.524209,126.895022,8.71691010465044
영등포시장,5호선,37.52276,126.905143,8.077027776384735
신길,5호선,37.51763,126.914886,7.797263556506406
여의도,5호선,37.521578,126.924318,6.900444437463987
여의나루,5호선,37.527145,126.932807,5.937258755932503
마포,5호선,37.539718,126.946043,4.118607814100182
공덕,5호선,37.544005,126.951058,3.468470580058169
애오개,5호선,37.553592,126.956733,2.380998840138948
충정로(경기대입구),5호선,37.560061,126.962783,1.5407008435774305
서대문,5호선,37.565812,126.966639,1.0229252437711929
광화문(세종문화회관),5호선,37.570545,126.976568,0.46332355008424686
종로3가(탑골공원),5호선,37.572546,126.990447,1.2663670450883031
을지로4가,5호선,37.56658,126.998127,1.7559963850967757
동대문역사문화공원,5호선,37.564682,127.00533,2.400233354435567
청구,5호선,37.560237,127.01379,3.2150847844432517
신금호,5호선,37.554504,127.020403,3.9548105071267017
행당,5호선,37.557297,127.029482,4.636348759423902
왕십리,5호선,37.56197,127.037264,5.230858187762067
마장,5호선,37.566066,127.042921,5.704373383884955
답십리,5호선,37.566833,127.05266,6.562486921774876
장한평,5호선,37.561438,127.064601,7.636638999425573
군자(능동),5호선,37.557102,127.079559,8.995854704024502
아차산(어린이대공원후문),5호선,37.552005,127.089609,9.952950164697576
광나루(장신대),5호선,37.545301,127.103478,11.293787903480494
천호(풍납토성),5호선,37.538566,127.123539,13.18537824246041
강동,5호선,37.53581,127.13249,14.025205059487053
길동,5호선,37.538022,127.140085,14.61982267591581
굽은다리(강동구민회관앞),5호선,37.545442,127.142844,14.702346930032258
명일,5호선,37.551317,127.144002,14.712940667643421
고덕,5호선,37.555002,127.154214,15.567808355307463
상일동,5호선,37.556714,127.166381,16.62298504332682
둔촌동,5호선,37.527787,127.136219,14.583531746013664
올림픽공원(한국체대),5호선,37.516217,127.130957,14.586066472366799
방이,5호선,37.508752,127.126054,14.536165427757627
오금,5호선,37.502228,127.127701,14.999304127664914
개롱,5호선,37.498097,127.134817,15.770583255698329
거여,5호선,37.493208,127.143983,16.741502041880786
마천,5호선,37.494972,127.152784,17.33213705037221
강일,5호선,37.557521,127.176018,17.465163204284575
응암,6호선,37.59859,126.915583,6.566157254496671
역촌,6호선,37.60605,126.922764,6.56666851272266
불광,6호선,37.610919,126.929504,6.535676045985063
독바위,6호선,37.618413,126.933035,7.003597444035783
연신내,6호선,37.617293,127.091375,11.455106449919
구산,6호선,37.618596,126.920519,7.699261577760217
새절(신사),6호선,37.611223,126.917246,7.313360186755307
증산(명지대앞),6호선,37.591148,126.913613,6.3133599532504805
디지털미디어시티,6호선,37.583989,126.909785,6.332558538357231
월드컵경기장(성산),6호선,37.577005,126.898643,7.106942430328272
마포구청,6호선,37.569439,126.899077,6.98118117680485
망원,6호선,37.563535,126.903326,6.6084429096869295
합정,6호선,37.556031,126.910129,6.1141055308023615
상수,6호선,37.549033,126.913546,6.024402935407513
광흥창(서강),6호선,37.547704,126.92292,5.306247508190844
대흥(서강대앞),6호선,37.547464,126.931971,4.596684239850313
공덕,6호선,37.547732,126.942214,3.8025522086368673
효창공원앞,6호선,37.543592,126.951664,3.465577697578985
삼각지,6호선,37.539279,126.961348,3.380396387512021
녹사평(용산구청),6호선,37.535563,126.973996,3.4693925291267824
이태원,6호선,37.53469,126.98665,3.623897800046115
한강진,6호선,37.534485,126.994369,3.843341861047116
버티고개,6호선,37.53956,127.001729,3.6511933561458076
약수,6호선,37.547933,127.006948,3.2743873048261607
청구,6호선,37.554087,127.010237,3.147060156052124
신당,6호선,37.560221,127.013776,3.214272468431451
동묘앞,6호선,37.566174,127.016158,3.345538773911669
창신,6호선,37.572275,127.015666,3.361799669355977
보문,6호선,37.579772,127.015246,3.5787359436562913
안암(고대병원앞),6호선,37.585293,127.019377,4.182487092437602
고려대(종암),6호선,37.586261,127.02903,4.984922380646911
월곡(동덕여대),6호선,37.59034,127.03626,5.7577945771304675
상월곡(한국과학기술연구원),6호선,37.60192,127.041492,6.821886570127844
돌곶이,6호선,37.606392,127.048509,7.613768049863509
석계,6호선,37.610522,127.056419,8.447753387556588
태릉입구,6호선,37.614937,127.065922,9.414952111733276
화랑대(서울여대입구),6호선,37.617319,127.074741,10.206480446189468
봉화산(서울의료원),6호선,37.619875,127.084106,11.053248371089332
신내,6호선,37.612571,127.104326,12.232755411273677
장암,7호선,37.70015,127.053126,16.251242295945474
도봉산,7호선,37.689131,127.046548,14.896550452628366
수락산,7호선,37.677804,127.055314,14.109005045649164
마들,7호선,37.664985,127.057701,12.99029830949718
노원,7호선,37.654478,127.060555,12.171161201615101
중계,7호선,37.645052,127.064084,11.54826125101845
하계,7호선,37.636363,127.067999,11.08062958984422
공릉(서울과학기술대),7호선,37.625642,127.072969,10.622205992305357
