역명,호선,위도,경도,시청과의거리,주소
창동,1호선,37.653181,127.047663,11.408497678776548,"77, 마들로11길, 창4동, 도봉구, 서울, 01418, 대한민국"
월계,1호선,37.633114,127.058835,10.256009386286152,"1, 월계로53길, 월계동, 월계2동, 노원구, 서울, 01885, 대한민국"
외대앞,1호선,37.596157,127.063572,8.209979362637014,"1, 휘경로5길, 이문동, 이문2동, 동대문구, 서울, 02403, 대한민국"
대방,1호선,37.513392,126.926407,7.47272689070515,"3, 여의대방로, 신길7동, 영등포구, 서울, 07319, 대한민국"
신길,1호선,37.517018,126.917743,7.667730941441291,"3, 노들로, 신길1동, 영등포구, 서울, 07319, 대한민국"
구일,1호선,37.496273,126.869599,12.362885075703163,"1, 안양천 자전거길, 신도림동, 구로2동, 구로구, 서울, 14223, 대한민국"
온수,1호선,37.492267,126.823399,15.957474851877166,"2, 부일로, 온수동, 수궁동, 구로구, 서울, 08259, 대한민국"
소요산,1호선,37.5653,127.0339,4.911087940723056,"무학로 8길, 9통, 왕십리도선동, 성동구, 서울, 04707, 대한민국"
도봉산,1호선,37.689603,127.046347,14.937447033102469,"964-40, 도봉로, 도봉2동, 도봉구, 서울, 01318, 대한민국"
방학,1호선,37.66796,127.04456,12.697455658519196,"도봉로150다길, 방학1동, 도봉구, 서울, 01332, 대한민국"
녹천,1호선,37.644599,127.051406,10.809027382052141,"녹천, 마들로5길, 월계2동, 노원구, 서울, 01867, 대한민국"
석계,1호선,37.615206,127.065594,9.408387288713788,"1, 화랑로45길, 월계1동, 노원구, 서울, 02781, 대한민국"
신이문,1호선,37.60274474,127.067556,8.840679014209432,"신이문역, 472, 한천로, 이문1동, 동대문구, 서울, 02407, 대한민국"
회기,1호선,37.589802,127.057936,7.485616004150959,"196, 회기로, 휘경1동, 동대문구, 서울, 02444, 대한민국"
남영,1호선,37.540597,126.971171,2.955504596998498,"2, 한강대로77길, 남영동, 용산구, 서울, 04321, 대한민국"
용산,1호선,37.52989,126.964775,4.248593290831419,"55, 한강대로23길, 한강로3가, 한강로동, 용산구, 서울, 04377, 대한민국"
노량진,1호선,37.514072,126.941671,6.668698623846725,"4, 노량진로, 노량진동, 노량진1동, 동작구, 서울, 06922, 대한민국"
영등포,1호선,37.515756,126.907411,8.420396952231497,"2, 경인로102길, 영등포동, 영등포본동, 영등포구, 서울, 07304, 대한민국"
신도림,1호선,37.508983,126.891513,9.972537836049478,"신도림역, 688, 경인로, 신도림동, 구로구, 서울, 08209, 대한민국"
개봉,1호선,37.494698,126.858504,13.240413468788464,"2, 남부순환로97길, 개봉동, 개봉2동, 구로구, 서울, 08277, 대한민국"
오류동,1호선,37.4944,126.844551,14.259305044032397,"13, 경인로20길, 오류1동, 구로구, 서울, 08270, 대한민국"
구로,1호선,37.502211,126.881818,11.111715365547159,"174, 구로중앙로, 구로2동, 구로구, 서울, 08213, 대한민국"
가산디지털단지,1호선,37.481568,126.882628,12.66535100027789,"가산디지털단지, 309, 벚꽃로, 가산동, 금천구, 서울, 08502, 대한민국"
