시군구,평균거리(+30%)
가평시,
고양시,22.37066337856192
과천시,18.76430251854197
광명시,20.464367163895126
광주시,43.168425131266304
구리시,19.090902494743506
군포시,31.040380724169
김포시,34.89375108403872
남양주시,29.069331015318006
동두천시,50.28419257068976
부천시,24.344259242071313
성남시,29.08400610410383
수원시,43.979149382910286
시흥시,34.592005465933994
안산시,40.37168243006046
안성시,
안양시,24.235843386372856
양주시,30.246578614181782
양평시,
여주시,81.90147964547727
연천시,
오산시,57.39056300725947
용인시,46.357457887971144
의왕시,35.68343772259014
의정부시,26.376323186659373
이천시,67.72184756751926
파주시,41.32697220675027
평택시,75.30897583784648
포천시,
하남시,26.021690502840933
화성시,47.96387089331397
강화군,
계양구,28.12016023722548
남동구,35.001527455937506
동구,19.94203786189231
미추홀구,38.28151728493791
부평구,30.96597820240022
서구,27.22291481700796
연수구,42.76590788231606
옹진군,
중구,14.817820171623552
